lat,lon,timestamp,datetime,temp,pressure,humidity,wind_speed,wind_deg,weather
58.514033,-115.148867,1713380400,2024-04-17 19:00:00,274.39,1038,43,2.13,27,clear sky
52.202717,-114.859533,1717639200,2024-06-06 02:00:00,286.69,1011,53,1.62,46,overcast clouds
54.705933,-111.96685,1718838000,2024-06-19 23:00:00,290.22,1017,43,3.97,222,broken clouds
55.390833,-115.458967,1718906400,2024-06-20 18:00:00,292.52,1018,29,3.16,131,few clouds
52.824033,-115.120083,1719086400,2024-06-22 20:00:00,295.21,1007,36,4.08,132,overcast clouds
54.3985,-117.597167,1718931600,2024-06-21 01:00:00,293.88,1014,31,2.65,65,few clouds
54.958267,-115.075267,1719158400,2024-06-23 16:00:00,291.56,1000,67,0.31,295,light rain
58.875167,-118.4255,1719187200,2024-06-24 00:00:00,289.61,1000,73,4.31,37,light rain
59.003583,-119.1099,1719522000,2024-06-27 21:00:00,296.8,1013,22,3.05,74,few clouds
58.65665,-115.862117,1719259200,2024-06-24 20:00:00,292.48,1007,45,5.64,14,overcast clouds
55.902333,-110.749867,1712869200,2024-04-11 21:00:00,284.38,1013,32,3.27,150,overcast clouds
55.942667,-110.713467,1713895200,2024-04-23 18:00:00,285.95,1015,37,1.75,331,clear sky
58.705533,-118.687633,1714035600,2024-04-25 09:00:00,277.53,1002,70,1.15,317,overcast clouds
53.918967,-118.713535,1718920800,2024-06-20 22:00:00,292.0,1015,29,2.54,88,broken clouds
53.56604,-116.592545,1717102800,2024-05-30 21:00:00,288.29,1012,28,6.93,296,overcast clouds
56.067375,-110.373883,1719936000,2024-07-02 16:00:00,294.62,1005,58,1.59,276,few clouds
58.632,-117.264667,1719810000,2024-07-01 05:00:00,287.43,1005,79,1.89,125,overcast clouds
55.923833,-110.726717,1712599200,2024-04-08 18:00:00,284.04,1008,55,2.13,220,overcast clouds
52.846833,-115.502,1713992400,2024-04-24 21:00:00,288.14,1002,25,1.52,109,overcast clouds
56.199333,-110.792,1719774000,2024-06-30 19:00:00,297.03,1012,31,4.05,190,scattered clouds
58.86795,-116.5729,1719176400,2024-06-23 21:00:00,296.18,998,43,2.78,154,overcast clouds
57.15085,-114.8087,1720648800,2024-07-10 22:00:00,306.1,1001,27,1.65,180,scattered clouds
53.167305,-115.396186,1713286800,2024-04-16 17:00:00,275.61,1021,50,5.93,314,overcast clouds
55.931983,-110.726067,1713657600,2024-04-21 00:00:00,285.09,1019,35,1.94,240,few clouds
53.573916,-116.047924,1713636000,2024-04-20 18:00:00,281.33,1021,26,4.96,129,clear sky
56.749983,-113.3735,1716750000,2024-05-26 19:00:00,286.91,1005,70,1.51,182,light rain
58.78455,-110.709117,1720465200,2024-07-08 19:00:00,290.77,1008,70,1.91,322,broken clouds
56.360333,-111.163383,1720594800,2024-07-10 07:00:00,293.21,1009,66,3.36,218,clear sky
55.929417,-110.72415,1713639600,2024-04-20 19:00:00,284.53,1023,24,2.79,266,few clouds
55.91595,-110.734783,1713643200,2024-04-20 20:00:00,285.33,1022,24,2.85,262,few clouds
55.633417,-111.077,1713639600,2024-04-20 19:00:00,283.68,1023,24,3.23,248,few clouds
55.920288,-110.444588,1713646800,2024-04-20 21:00:00,285.79,1021,24,2.92,257,few clouds
55.949483,-110.705167,1713650400,2024-04-20 22:00:00,285.89,1020,25,2.95,254,few clouds
57.75235,-117.329383,1720911600,2024-07-13 23:00:00,290.28,1011,65,1.54,275,broken clouds
53.044233,-115.603783,1721415600,2024-07-19 19:00:00,302.96,1015,38,4.8,114,few clouds
53.1103,-116.546217,1721091600,2024-07-16 01:00:00,298.79,1008,39,3.51,48,broken clouds
54.544167,-118.079167,1721419200,2024-07-19 20:00:00,305.27,1012,26,5.18,127,clear sky
58.473533,-117.150117,1713589200,2024-04-20 05:00:00,277.53,1027,49,2.27,200,few clouds
55.980398,-114.312275,1716757200,2024-05-26 21:00:00,288.61,1004,72,2.09,176,light rain
56.219033,-112.583,1719856800,2024-07-01 18:00:00,293.66,1005,62,2.88,221,overcast clouds
59.7079,-117.1443,1719885600,2024-07-02 02:00:00,291.59,1003,74,2.14,193,light rain
59.781383,-117.104483,1719928800,2024-07-02 14:00:00,292.57,1006,59,2.93,18,broken clouds
57.329833,-111.995,1719943200,2024-07-02 18:00:00,298.42,1004,47,1.1,262,broken clouds
57.567517,-111.822167,1719943200,2024-07-02 18:00:00,297.33,1004,38,0.68,87,few clouds
57.83995,-112.611283,1719950400,2024-07-02 20:00:00,296.76,1004,37,1.82,293,broken clouds
57.844383,-112.644417,1719824400,2024-07-01 09:00:00,285.7,1007,89,1.82,171,overcast clouds
55.761933,-119.5312,1720195200,2024-07-05 16:00:00,292.06,1014,45,5.18,266,clear sky
56.318333,-112.095,1720648800,2024-07-10 22:00:00,308.23,1001,22,2.49,157,clear sky
56.301,-112.124667,1720648800,2024-07-10 22:00:00,308.23,1001,22,2.49,157,clear sky
56.347833,-112.038667,1720648800,2024-07-10 22:00:00,308.23,1001,22,2.49,157,clear sky
56.373667,-112.009833,1720648800,2024-07-10 22:00:00,308.23,1001,22,2.49,157,clear sky
56.2655,-112.0415,1720648800,2024-07-10 22:00:00,308.23,1001,22,2.49,157,clear sky
56.336667,-111.961167,1720648800,2024-07-10 22:00:00,308.23,1001,22,2.49,157,clear sky
56.8072,-111.44205,1715792400,2024-05-15 17:00:00,285.88,1010,50,1.54,60,haze
58.562617,-117.743867,1719950400,2024-07-02 20:00:00,291.25,1007,64,8.23,350,smoke
53.315283,-117.184533,1721088000,2024-07-16 00:00:00,299.23,1008,36,2.56,32,broken clouds
54.807633,-119.071133,1715540400,2024-05-12 19:00:00,290.76,1005,23,5.05,281,overcast clouds
59.677533,-118.579667,1719874800,2024-07-01 23:00:00,297.44,1003,38,2.93,23,overcast clouds
56.662673,-113.630572,1720213200,2024-07-05 21:00:00,298.83,1008,37,3.06,268,broken clouds
56.517717,-113.04725,1720213200,2024-07-05 21:00:00,299.03,1008,34,3.71,274,broken clouds
56.3388,-113.385683,1720224000,2024-07-06 00:00:00,297.48,1008,37,3.73,279,scattered clouds
56.553883,-113.344833,1720213200,2024-07-05 21:00:00,298.83,1008,37,3.06,268,broken clouds
55.348167,-118.194117,1720389600,2024-07-07 22:00:00,301.25,1009,36,1.22,325,clear sky
54.557633,-117.378117,1720555200,2024-07-09 20:00:00,305.45,1007,24,1.99,169,clear sky
55.385002,-118.205738,1720558800,2024-07-09 21:00:00,306.06,1007,26,1.87,252,clear sky
58.771133,-111.063167,1719183600,2024-06-23 23:00:00,295.79,998,38,2.86,139,overcast clouds
