YEAR,LATITUDE,LONGITUDE,GENERAL_CAUSE,START_DATE,FUEL_TYPE
2024,53.944033,-116.665,Power Line Industry,2024-06-24 08:40:00,O1a
2024,58.1879,-116.428717,Government,2024-06-28 15:30:00,O1a
2024,56.1122,-115.6714,Lightning,2024-07-10 13:36:00,M2
2024,55.927783,-110.723717,Incendiary,2024-04-25 20:30:00,O1a
2024,55.904917,-110.746067,Incendiary,2024-04-25 23:00:00,O1a
2024,56.095917,-110.429733,Lightning,2024-07-03 13:30:00,C1
2024,57.4354,-115.051567,Lightning,2024-07-11 11:30:00,C2
2024,56.6479,-119.622783,Lightning,2024-07-13 18:00:00,M2
2024,55.835317,-111.175167,Lightning,2024-07-16 15:45:00,M2
2024,56.016667,-110.95,Lightning,2024-07-16 15:35:00,M2
2024,55.198133,-111.2265,Lightning,2024-07-16 15:41:00,M2
2024,55.052317,-110.7853,Lightning,2024-07-16 17:30:00,C2
2024,54.713233,-114.972267,Lightning,2024-07-10 13:08:00,M2
2024,55.2507,-115.33495,Resident,2024-03-16 18:45:00,O1a
2024,54.187515,-116.061532,Undetermined,2024-04-25 15:00:00,M1
2024,55.236117,-115.68485,Lightning,2024-07-10 09:42:00,M1
2024,55.53584,-114.566667,Lightning,2024-07-10 11:32:00,C2
2024,57.194533,-118.291852,Lightning,2020-07-10 15:00:00,C2
2024,55.132148,-115.788703,Lightning,2024-07-10 09:02:00,C2
2024,57.205917,-118.331967,Lightning,2024-07-10 16:00:00,C2
2024,53.738033,-116.13625,Power Line Industry,2024-07-10 16:00:00,M2
2024,55.789,-111.51605,Lightning,2024-07-10 18:04:00,C2
2024,55.370533,-116.81475,Resident,2024-07-10 19:00:00,O1a
2024,54.230785,-115.289573,Government,2024-04-15 21:15:00,C2
2024,54.96145,-115.066033,Lightning,2024-06-22 12:09:00,C2
2024,54.059067,-117.480867,Lightning,2024-07-19 16:49:00,C3
2024,52.395667,-115.02555,Recreation,2024-07-16 13:00:00,C3
2024,55.867667,-110.920683,Lightning,2024-07-16 15:55:00,C2
2024,53.260783,-116.6007,Lightning,2024-07-15 20:37:00,C2
2024,51.062667,-115.1533,Resident,2024-02-22 09:00:00,S1
2024,54.29456,-115.194512,Undetermined,2024-05-16 15:00:00,O1b
2024,55.620033,-112.391867,Lightning,2024-07-10 17:00:00,C2
2024,57.14915,-110.083083,Lightning,2024-07-10 00:30:00,C2
2024,56.707233,-118.9744,Lightning,2024-07-16 18:00:00,C2
2024,54.454367,-115.2015,Forest Industry,2024-01-19 12:00:00,S2
2024,55.297619,-115.310757,Undetermined,2024-04-14 13:40:00,O1a
2024,55.922833,-110.731483,Incendiary,2024-04-22 21:00:00,O1a
2024,52.60555,-114.796533,Incendiary,2024-04-23 15:28:00,D1
2024,57.1061,-117.540017,Agriculture Industry,2024-04-24 11:30:00,O1a
2024,51.62225,-115.109,Power Line Industry,2024-06-14 10:00:00,C2
2024,56.351167,-111.346,Lightning,2024-07-09 15:30:00,C2
2024,57.346167,-115.162167,Lightning,2024-07-10 15:58:00,M2
2024,57.194267,-114.646183,Lightning,2024-07-10 10:34:00,C2
2024,53.375702,-116.853423,Incendiary,2024-04-10 08:00:00,O1a
2024,58.384667,-115.999033,Resident,2024-04-21 13:00:00,O1a
2024,55.36715,-115.067917,Under Investigation,2024-04-21 15:10:00,O1a
2024,55.402184,-116.217288,Resident,2024-04-21 16:20:00,M1
2024,55.916333,-110.740133,Incendiary,2024-04-22 12:00:00,D1
2024,55.228067,-113.87785,Undetermined,2024-06-21 18:07:00,O1a
2024,54.891567,-110.6446,Lightning,2024-07-11 16:45:00,C2
2024,55.895374,-115.642076,Resident,2024-04-08 10:00:00,O1a
2024,56.517277,-115.381725,Resident,2024-04-24 17:05:00,O1a
2024,55.410967,-116.225733,Undetermined,2024-04-19 12:00:00,O1b
2024,55.358317,-115.884333,Undetermined,2024-04-20 12:45:00,O1a
2024,53.573667,-116.357,Power Line Industry,2024-04-21 15:00:00,M1
2024,58.35705,-116.0418,Undetermined,2024-06-29 17:00:00,O1b
2024,57.918567,-117.5027,Lightning,2024-07-13 19:00:00,M2
2024,58.646783,-116.207267,Lightning,2024-07-16 15:00:00,M2
2024,55.8157,-112.176583,Power Line Industry,2024-05-27 08:00:00,O1b
2024,55.920018,-110.696597,Resident,2024-05-27 07:00:00,S2
2024,58.517633,-115.1228,Resident,2024-05-05 06:30:00,O1b
2024,52.864333,-115.803783,Government,2024-06-20 05:00:00,S1
2024,56.44775,-117.23955,Resident,2024-04-06 12:00:00,C2
2024,57.561817,-115.508783,Forest Industry,2024-04-20 12:00:00,C2
2024,57.5435,-115.498783,Forest Industry,2024-04-20 12:00:00,M1
2024,55.926133,-110.724117,Incendiary,2024-04-26 16:00:00,O1a
2024,55.9333,-110.72125,Incendiary,2024-05-05 20:00:00,O1a
2024,53.702667,-115.7315,Resident,2024-05-25 15:00:00,O1a
2024,57.002467,-115.208367,Lightning,2024-05-26 15:51:00,C2
2024,56.747972,-113.359763,Lightning,2024-05-26 14:41:00,C2
2024,57.484883,-118.302217,Lightning,2024-05-26 16:10:00,C2
2024,58.435917,-114.553883,Incendiary,2024-05-27 16:10:00,C2
2024,55.32,-115.649833,Power Line Industry,2024-05-28 14:30:00,O1a
2024,57.538483,-119.748222,Lightning,2024-05-25 17:00:00,C2
2024,50.8108,-114.658917,Recreation,2024-06-02 18:50:00,O1a
2024,54.67448,-111.86383,Resident,2024-01-28 12:00:00,M1
2024,55.895967,-110.755467,Incendiary,2024-05-02 13:15:00,O1a
2024,51.148817,-115.032317,Resident,2024-06-21 09:20:00,O1b
2024,57.4494,-117.524,Power Line Industry,2024-06-21 19:00:00,C2
2024,51.260283,-115.092117,Under Investigation,2024-05-29 19:00:00,S1
2024,58.81845,-116.421083,Lightning,2024-07-01 14:00:00,C2
2024,55.193783,-111.372983,Undetermined,2024-07-01 13:30:00,O1b
2024,53.5744,-116.640517,Under Investigation,2024-07-01 13:45:00,O1a
2024,55.970167,-111.3695,Lightning,2024-07-01 14:30:00,C2
2024,57.250833,-117.738,Lightning,2024-07-01 12:00:00,C2
2024,56.106083,-110.18895,Lightning,2024-07-01 18:00:00,C2
2024,55.457967,-119.54701,Agriculture Industry,2024-04-23 17:30:00,O1a
2024,54.613917,-118.384167,Oil & Gas Industry,2024-04-27 11:00:00,O1a
2024,56.31686,-119.145728,Lightning,2024-04-28 20:45:00,D1
2024,54.542467,-117.87775,Oil & Gas Industry,2024-05-08 15:30:00,C2
2024,53.732128,-115.840278,Power Line Industry,2024-06-05 08:30:00,O1b
2024,51.3208,-114.696133,Power Line Industry,2024-06-04 20:00:00,O1a
2024,53.9115,-118.77195,Undetermined,2024-06-05 21:45:00,O1a
2024,56.090205,-111.857175,Undetermined,2024-04-21 08:00:00,O1b
2024,52.246048,-114.977547,Power Line Industry,2024-06-11 16:30:00,C2
2024,51.25675,-115.082807,Under Investigation,2024-05-29 00:00:00,C3
2024,53.829717,-116.1218,Resident,2024-06-22 13:00:00,O1b
2024,53.5555,-115.25225,Agriculture Industry,2024-06-22 15:30:00,C7
2024,58.719863,-111.128363,Recreation,2024-06-22 17:00:00,S2
2024,54.991833,-114.04025,Resident,2024-04-18 11:15:00,O1a
2024,56.760917,-117.648133,Resident,2024-05-16 19:35:00,O1b
2024,54.501833,-114.5825,Power Line Industry,2024-05-31 21:00:00,O1b
2024,52.217783,-114.919417,Power Line Industry,2024-06-07 13:40:00,C3
2024,58.747694,-114.15981,Lightning,2024-07-01 21:00:00,M2
2024,59.0396,-119.486033,Lightning,2024-07-01 19:50:00,C2
2024,59.136717,-119.87105,Lightning,2024-07-02 12:00:00,C2
2024,57.165417,-110.529167,Lightning,2024-07-02 18:24:00,C2
2024,57.681583,-114.87945,Lightning,2024-07-04 17:00:00,C2
2024,58.720167,-116.722833,Lightning,2024-07-06 06:30:00,M2
2024,59.26365,-110.172867,Lightning,2024-07-07 02:43:00,C2
2024,53.052383,-116.064717,Forest Industry,2024-07-08 17:00:00,S1
2024,55.10693,-114.04943,Agriculture Industry,2024-07-09 18:25:00,O1a
2024,52.64305,-114.774467,Power Line Industry,2024-07-10 09:00:00,C2
2024,53.641633,-116.370633,Resident,2024-04-07 14:45:00,O1a
2024,55.93775,-110.719333,Incendiary,2024-05-05 21:41:00,O1a
2024,55.6101,-116.450683,Agriculture Industry,2024-05-07 21:00:00,O1b
2024,53.558833,-116.499583,Undetermined,2024-05-08 16:45:00,O1a
2024,55.309433,-115.460383,Resident,2024-05-09 20:00:00,M1
2024,55.288967,-117.23225,Resident,2024-05-10 13:30:00,O1a
2024,56.456217,-116.351717,Incendiary,2024-05-12 10:00:00,O1a
2024,56.57075,-114.311833,Lightning,2024-06-23 14:29:00,C2
2024,56.649167,-114.537667,Lightning,2024-06-23 08:59:00,C2
2024,55.8537,-113.8333,Lightning,2024-06-23 15:14:00,M2
2024,58.6255,-114.929383,Lightning,2024-06-24 16:00:00,M2
2024,55.60295,-111.42495,Incendiary,2024-06-29 13:00:00,C4
2024,54.724883,-110.652867,Recreation,2024-06-29 10:00:00,M2
