#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Feb  5 11:38:49 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250101,-73.3,40.5,34
20250101,-73.2,40.5,3
20250101,-72.6,40.5,1
20250101,-72.4,40.5,1
20250101,-72.2,40.5,1
20250101,-72.1,40.5,1
20250101,-71.9,40.5,1
20250101,-71.8,40.5,1
20250101,-71.6,40.5,1
20250101,-71.4,40.5,2
20250101,-71.3,40.5,4
20250101,-66.8,40.5,3
20250101,-64.1,40.5,4
20250101,-63.3,40.5,1
20250101,-62.6,40.5,1
20250101,-62.4,40.5,2
20250101,-60.9,40.5,2
20250101,-60.8,40.5,3
20250101,-60.7,40.5,3
20250101,-60.6,40.5,4
20250101,-71.7,40.2,2
20250101,-66.9,40.2,1
20250101,-63.5,40.2,1
20250101,-63.4,40.2,1
20250101,-62.9,40.2,5
20250101,-62.8,40.2,1
20250101,-62.4,40.2,3
20250101,-62.3,40.2,2
20250101,-61.7,40.2,1
20250101,-61.4,40.2,1
20250101,-61.2,40.2,3
20250101,-61.1,40.2,4
20250101,-60.5,40.2,1
20250101,-74,40.3,4
20250101,-72,40.3,1
20250101,-64,40.3,1
20250101,-61,40.3,7
20250101,-60,40.3,1
20250101,-76.1,40.3,1
20250101,-75.4,40.3,2
20250101,-75.3,40.3,3
20250101,-75.1,40.3,12
20250101,-74.7,40.3,1
20250101,-74.4,40.3,2
20250101,-74.3,40.3,1
20250101,-73.9,40.3,2
20250101,-73.8,40.3,9
20250101,-73.7,40.3,33
20250101,-73.6,40.3,11
20250101,-73.5,40.3,4
20250101,-73.4,40.3,5
20250101,-73.3,40.3,7
20250101,-73.2,40.3,1
20250101,-72.9,40.3,1
20250101,-72.6,40.3,1
20250101,-72.5,40.3,4
20250101,-72.4,40.3,1
20250101,-72.2,40.3,1
20250101,-72.1,40.3,3
20250101,-71.9,40.3,1
20250101,-71.8,40.3,1
20250101,-71.6,40.3,2
20250101,-66.9,40.3,1
20250101,-63.6,40.3,2
20250101,-63.5,40.3,1
20250101,-63.1,40.3,1
20250101,-62.9,40.3,1
20250101,-62.7,40.3,3
20250101,-62.4,40.3,1
20250101,-62.1,40.3,2
20250101,-61.3,40.3,1
20250101,-61.1,40.3,2
20250101,-60.9,40.3,2
20250101,-60.2,40.3,1
20250101,-59.8,40.3,1
20250101,-59.7,40.3,1
20250101,-59.6,40.3,1
20250101,-75,40.4,1
20250101,-74,40.4,2
20250101,-72,40.4,1
20250101,-64,40.4,2
20250101,-61,40.4,1
20250101,-76.1,40.4,1
20250101,-75.6,40.4,1
20250101,-74.7,40.1,1
20250101,-74.4,40.1,2
20250101,-74.3,40.1,2
20250101,-74.2,40.1,1
20250101,-74.1,40.1,3
20250101,-73.9,40.1,26
20250101,-73.8,40.1,34
20250101,-73.7,40.1,11
20250101,-73.6,40.1,4
20250101,-73.5,40.1,1
20250101,-73.4,40.1,8
20250101,-73.3,40.1,1
20250101,-72.6,40.1,1
20250101,-72.5,40.1,1
20250101,-72.2,40.1,1
20250101,-71.9,40.1,2
20250101,-71.8,40.1,6
20250101,-68.3,40.1,1
20250101,-62.8,40.1,1
20250101,-62.7,40.1,3
20250101,-61.8,40.1,1
20250101,-61.5,40.1,1
20250101,-61.4,40.1,3
20250101,-61.3,40.1,4
20250101,-61.2,40.1,3
